"user","datetime","stage_duration","stage"
"AOYM4KG","2023-06-27 19:58:00.000",372,"asleep"
"AOYM4KG","2023-06-27 21:00:00.000",6,"awake"
"AOYM4KG","2023-06-27 21:01:00.000",372,"asleep"
"AOYM4KG","2023-06-27 22:03:00.000",6,"awake"
"AOYM4KG","2023-06-27 22:04:00.000",6,"asleep"
"AOYM4KG","2023-06-27 22:05:00.000",12,"awake"
"AOYM4KG","2023-06-27 22:07:00.000",474,"asleep"
"AOYM4KG","2023-06-27 23:26:00.000",6,"awake"
"AOYM4KG","2023-06-27 23:27:00.000",6,"restless"
"AOYM4KG","2023-06-27 23:28:00.000",204,"asleep"
"AOYM4KG","2023-06-28 00:02:00.000",30,"restless"
"AOYM4KG","2023-06-28 00:07:00.000",138,"asleep"
"AOYM4KG","2023-06-28 00:30:00.000",6,"awake"
"AOYM4KG","2023-06-28 00:31:00.000",6,"restless"
"AOYM4KG","2023-06-28 00:32:00.000",6,"asleep"
"AOYM4KG","2023-06-28 00:33:00.000",6,"restless"
"AOYM4KG","2023-06-28 00:34:00.000",6,"awake"
"AOYM4KG","2023-06-28 00:35:00.000",216,"asleep"
"AOYM4KG","2023-06-28 01:11:00.000",6,"restless"
"AOYM4KG","2023-06-28 01:12:00.000",36,"asleep"
"AOYM4KG","2023-06-28 01:18:00.000",6,"restless"
"AOYM4KG","2023-06-28 01:19:00.000",36,"asleep"
"AOYM4KG","2023-06-28 01:25:00.000",12,"restless"
"AOYM4KG","2023-06-28 01:27:00.000",24,"asleep"
"AOYM4KG","2023-06-28 01:31:00.000",6,"restless"
"AOYM4KG","2023-06-28 01:32:00.000",6,"awake"
"AOYM4KG","2023-06-28 01:33:00.000",18,"restless"
"AOYM4KG","2023-06-28 01:36:00.000",42,"asleep"
"AOYM4KG","2023-06-28 01:43:00.000",18,"restless"
"AOYM4KG","2023-06-28 01:46:00.000",60,"asleep"
"AOYM4KG","2023-06-28 01:56:00.000",6,"awake"
"AOYM4KG","2023-06-28 01:57:00.000",78,"asleep"
"AOYM4KG","2023-06-28 02:10:00.000",18,"restless"
"AOYM4KG","2023-06-28 02:13:00.000",12,"asleep"
"AOYM4KG","2023-06-28 02:15:00.000",12,"restless"
"AOYM4KG","2023-06-28 02:17:00.000",48,"asleep"
"AOYM4KG","2023-06-28 02:25:00.000",6,"restless"
"AOYM4KG","2023-06-28 02:26:00.000",18,"asleep"
"AOYM4KG","2023-06-28 02:29:00.000",12,"restless"
"AOYM4KG","2023-06-28 02:31:00.000",6,"awake"
"AOYM4KG","2023-06-28 02:32:00.000",60,"asleep"
"AOYM4KG","2023-06-28 02:42:00.000",6,"awake"
"AOYM4KG","2023-06-28 02:43:00.000",432,"asleep"
"AOYM4KG","2023-06-28 03:55:00.000",12,"restless"
"AOYM4KG","2023-06-28 03:57:00.000",6,"asleep"
"AOYM4KG","2023-06-28 03:58:00.000",18,"awake"
"AOYM4KG","2023-06-28 04:01:00.000",66,"restless"
"AOYM4KG","2023-06-28 04:12:00.000",120,"asleep"
"AOYM4KG","2023-06-28 04:32:00.000",6,"awake"
"AOYM4KG","2023-06-28 04:33:00.000",30,"asleep"
"AOYM4KG","2023-06-28 04:38:00.000",12,"restless"
"AOYM4KG","2023-06-28 04:40:00.000",336,"asleep"
"AOYM4KG","2023-06-28 05:36:00.000",12,"restless"
"AOYM4KG","2023-06-28 05:38:00.000",60,"asleep"
"AOYM4KG","2023-06-28 05:48:00.000",18,"awake"
"AOYM4KG","2023-06-28 05:51:00.000",114,"asleep"
"AOYM4KG","2023-06-28 06:10:00.000",6,"restless"
"AOYM4KG","2023-06-28 06:11:00.000",24,"asleep"
"AOYM4KG","2023-06-28 06:15:00.000",12,"restless"
"AOYM4KG","2023-06-28 06:17:00.000",96,"asleep"
"AOYM4KG","2023-06-28 20:10:30.000",12,"awake"
"AOYM4KG","2023-06-28 20:12:30.000",12,"restless"
"AOYM4KG","2023-06-28 20:14:30.000",18,"awake"
"AOYM4KG","2023-06-28 20:17:30.000",6,"restless"
"AOYM4KG","2023-06-28 20:18:30.000",474,"asleep"
"AOYM4KG","2023-06-28 21:37:30.000",36,"restless"
"AOYM4KG","2023-06-28 21:43:30.000",12,"awake"
"AOYM4KG","2023-06-28 21:45:30.000",6,"restless"
"AOYM4KG","2023-06-28 21:46:30.000",462,"asleep"
"AOYM4KG","2023-06-28 23:03:30.000",24,"restless"
"AOYM4KG","2023-06-28 23:07:30.000",18,"awake"
"AOYM4KG","2023-06-28 23:10:30.000",324,"asleep"
"AOYM4KG","2023-06-29 00:04:30.000",6,"restless"
"AOYM4KG","2023-06-29 00:05:30.000",18,"asleep"
"AOYM4KG","2023-06-29 00:08:30.000",6,"restless"
"AOYM4KG","2023-06-29 00:09:30.000",66,"asleep"
"AOYM4KG","2023-06-29 00:20:30.000",6,"restless"
"AOYM4KG","2023-06-29 00:21:30.000",78,"asleep"
"AOYM4KG","2023-06-29 00:34:30.000",6,"restless"
"AOYM4KG","2023-06-29 00:35:30.000",54,"asleep"
"AOYM4KG","2023-06-29 00:44:30.000",6,"restless"
"AOYM4KG","2023-06-29 00:45:30.000",156,"asleep"
"AOYM4KG","2023-06-29 01:11:30.000",6,"restless"
"AOYM4KG","2023-06-29 01:12:30.000",18,"asleep"
"AOYM4KG","2023-06-29 01:15:30.000",6,"restless"
"AOYM4KG","2023-06-29 01:16:30.000",66,"asleep"
"AOYM4KG","2023-06-29 01:27:30.000",6,"restless"
"AOYM4KG","2023-06-29 01:28:30.000",150,"asleep"
"AOYM4KG","2023-06-29 01:53:30.000",6,"restless"
"AOYM4KG","2023-06-29 01:54:30.000",18,"asleep"
"AOYM4KG","2023-06-29 01:57:30.000",6,"restless"
"AOYM4KG","2023-06-29 01:58:30.000",6,"asleep"
"AOYM4KG","2023-06-29 01:59:30.000",12,"restless"
"AOYM4KG","2023-06-29 02:01:30.000",6,"awake"
"AOYM4KG","2023-06-29 02:02:30.000",6,"restless"
"AOYM4KG","2023-06-29 02:03:30.000",6,"awake"
"AOYM4KG","2023-06-29 02:04:30.000",6,"restless"
"AOYM4KG","2023-06-29 02:05:30.000",174,"asleep"
"AOYM4KG","2023-06-29 02:34:30.000",12,"restless"
"AOYM4KG","2023-06-29 02:36:30.000",6,"asleep"
"AOYM4KG","2023-06-29 02:37:30.000",18,"restless"
"AOYM4KG","2023-06-29 02:40:30.000",60,"asleep"
"AOYM4KG","2023-06-29 02:50:30.000",6,"restless"
"AOYM4KG","2023-06-29 02:51:30.000",138,"asleep"
"AOYM4KG","2023-06-29 03:14:30.000",6,"restless"
"AOYM4KG","2023-06-29 03:15:30.000",18,"asleep"
"AOYM4KG","2023-06-29 03:18:30.000",6,"restless"
"AOYM4KG","2023-06-29 03:19:30.000",66,"asleep"
"AOYM4KG","2023-06-29 04:41:30.000",12,"asleep"
"AOYM4KG","2023-06-29 04:43:30.000",12,"restless"
